Name,Prev. Season,Service Time,Salary,G,PA,H,AVG,1B,2B,3B,HR,BB%,K%,BB/K,BABIP,wOBA,wRAA,wRC,RE24,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,EV,LA,HardHit%,Barrel%,OPS,SB_run,CS_run,UBR,Inn,E,DRS,UZR,RAA,FRM,SB_def,CS_def,Position_1B,Position_2B,Position_3B,Position_C,Position_CF,Position_DH,Position_LF,Position_OF,Position_RF,Position_SS
Adam Jones,2010,3,-0.15623740450111168,0.9983168068920558,1.1851075660399142,1.491193649811855,0.8478119754039017,1.7297954356734575,0.5716415279820196,1.284306870637124,0.656996569925758,-1.4510381510758268,-0.2759692419959143,-1.1956048268293344,0.683602602412799,0.44948163237779637,0.3729263660887462,0.9780127914216462,-0.5648711546764286,1.451055587964508,0.5141752341943355,1.2496618892315856,-0.21320995277589175,-0.27080256245529516,-0.38212193524315924,0.9957791476690225,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,0.3504171468269847,0.007098952837347109,1.5868286433055143,1.3631338183817079,1.3453563663579957,0.2547772698112268,-0.9062008481893032,-0.8993266533897907,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,3.193331868292526,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
Alberto Callaspo,2010,3,-0.5211033701632155,0.917936372680014,1.0722414419184263,1.1486935193196615,0.3530714011904734,1.5387227370353034,0.765453057987079,-0.03620679860837642,-0.2490057219470149,-0.9692584601201245,-2.278742808506456,1.6706256546164246,-0.6125833139219521,-0.40267453676345133,-1.103734675861066,0.2217615325006128,-1.569638724728733,-0.3773685449591394,0.1553644355524337,-0.011535710250286978,2.0730418067532126,1.1847173063057206,1.7207476830600412,-1.8932847386866969,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-0.44924646688929926,-0.20121859421721858,0.17058199888706366,-1.392916253899318,1.1705809874507465,1.0637901676073234,0.35657452729636413,0.5722987794298668,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,2.7250215731728487,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
Alberto Gonzalez,2010,2,-0.9297532517047719,0.08733855248891645,-1.202010959129554,-1.0561510707238346,-0.11563019543277575,-0.7859950963955716,-1.075756477060984,-0.47637802169020993,-1.2556749351389846,-1.5152754432032538,-0.932616312982977,-0.9871517009060066,-0.08532124626035914,-1.232980547721589,-0.9591132336082494,-1.2907409853414538,-1.2901899112497277,2.1603580533228195,0.18194301322961196,1.5393964728963405,0.6145708567087843,0.7038759210900277,0.5511042267257162,-0.0990240092657767,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-1.2923700596119039,-0.7220124618536327,-0.8916029844267742,-1.0146348714293734,-1.191536439012707,-0.14972917908682162,0.7354071399420643,1.3898684643296768,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,2.6510944696091943,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
Alex Gordon,2010,3,-0.6962390336810254,-1.011194048408987,-0.7336165440253795,-0.927713521789262,-0.9488774783185513,-0.8815314457146487,-0.8819449470559247,-0.9165492447720434,-0.45033956458540886,1.2469281182761058,0.20009988446970653,0.6804733064806171,-0.9421221062104485,-0.27157358766479783,-0.5176372519943879,-0.7751151269862039,-0.5087040234312686,-1.323105165436888,-0.01739631934922216,-0.8296098288331228,-0.16393728554466105,-0.19282828377167,-0.008831470455609029,-0.2814912020882431,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-0.4840144500943551,-0.6178536883263498,0.878705321096289,-1.392916253899318,-0.6174667562968206,0.2547772698112268,-0.527368235543603,-0.7766912006548192,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,3.8802839810489265,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
Alexi Casilla,2010,3,-0.8524016669844058,-1.1451614387623896,-1.360023532899637,-1.1417761033468832,0.6395001546824591,-1.0089132448067513,-1.1726622420635135,0.8441356475552906,-1.1550080138197876,-0.19841095459100105,-1.7862575052661587,1.7748522175780888,0.15634053475120482,0.12172925963116263,-0.2055594029225204,-1.0501155847756705,-0.09958541312701774,0.33193392039917197,-1.4393502250782393,-0.4205727695417049,1.7774058033658282,0.8598244784572797,1.3101281717937363,-1.558761551845508,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-0.005954681024837892,-0.09705982068993572,-0.5375413233221615,0.1202092759804609,-1.256786287675818,-0.14972917908682162,0.10401945219923062,0.49054181093988586,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,2.7719439874188936
Andres Torres,2010,3,-0.4919140929102472,0.7303820261852502,0.89729894953012,0.8704121632947543,0.43118833396101497,0.23305929634125022,2.315945298027553,2.6048205398826245,0.354995805968167,0.5081992588106959,0.26576459156841253,0.10722721019146511,0.7495103608704983,0.9301851124061913,1.0808102676420066,1.0811379630926963,1.2297033596750993,-0.26703260590340167,-0.32304996263676744,-0.33535671552265944,-0.31175528723835316,-0.02388401329047925,-0.14570464087771007,0.05303198475294536,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,0.8371689116977659,1.986115649855721,1.5868286433055143,2.065656385825891,0.8436307358771014,-0.9587420768829183,1.6193499027820315,4.312680087846497,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,3.193331868292526,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
Angel Pagan,2010,4,-0.08326421136869093,1.0519037630334167,1.252827240512807,1.5554124242791416,1.0040458409449848,1.8253317849925346,1.1530761179971976,2.1646493168007908,-0.1483388006278179,-0.3911228309732818,-0.9162001362083002,0.15934049167229714,0.7495103608704983,0.4057813160115786,0.3044214723900436,0.9780127914216462,1.339957358045228,0.15854887331158507,-0.38949640682971215,-0.0797085534655231,1.2058428634835525,0.9248030440269679,1.0861538929212065,-1.2242383650043196,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,0.33303315522445676,3.1318621586558324,2.2949519655147395,1.8494955958430654,1.2249792282786087,-0.14972917908682162,2.2507375905248654,3.147643286864268,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,2.568698948050216,-0.27787621321987555,-0.3607576504210512
Asdrubal Cabrera,2010,3,-0.5138060508499734,-0.3949440527833338,0.07901954964933308,0.20681816046612927,0.6395001546824591,0.7425864927096612,-0.30051035704074697,-0.47637802169020993,-0.9536741711813937,-0.7444279376741301,-1.1131942575044194,0.00300064722980105,0.46391007422046815,-0.27157358766479783,-0.6774820039580273,-0.2594892686309539,-0.7832988872964948,-0.5507535920467264,-0.6287036059243136,-0.4205727695417049,1.5803151344409054,0.8338330522294041,1.297685156300817,-1.5283503530417637,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-0.4666304584918272,-0.09705982068993572,0.5246436599916763,1.0929328309031758,0.019048742049812828,1.2660433920563476,-0.6536457730921698,-1.2467937694722098,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,2.7719439874188936
Ben Francisco,2010,3,-0.7619149075002041,-0.6360853554194589,-1.2076542653356284,-1.0133385544123106,0.43118833396101497,-1.040758694579777,-0.5912276520483358,-0.9165492447720434,-0.6516734072238028,-0.3590041849095685,-0.505795716841386,-0.10122591573186272,0.11240202911273867,0.44948163237779637,-0.03810299610346955,-0.8782402986572538,-0.11276041922156141,-1.0393841792935634,-0.08384276354216687,-0.3012702939150408,-0.4989914227170296,0.4049745194694624,0.36445899433194123,-0.5247807925181981,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,0.35910914262824867,0.11125772636462994,-0.8916029844267742,-0.4201926989766031,-1.4913716911633923,-1.1609953013319427,-0.2748131604464696,-0.5109810530623811,-0.0921907835775678,-0.11085434770882556,-0.3963324321680557,-0.36768915315399425,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,-0.4793420345923855,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,2.568698948050216,-0.27787621321987555,-0.3607576504210512
Brayan Pena,2010,3,-0.9122396853529908,-1.3863027413985147,-1.3374503080753395,-1.1845886196584072,0.04060367010830732,-1.040758694579777,-0.8819449470559247,-0.9165492447720434,-1.1550080138197876,-0.4232414770369952,-0.8833677826589472,0.10722721019146511,-0.04138274062189297,-0.5993259604114316,-0.5556955262714449,-1.2219908708940872,-0.8061817926185969,0.7259908455982338,-0.25660351844382273,0.4315877706487496,0.8313705925261983,0.36598738012764986,0.5635472422186356,-0.5247807925181981,-1.1668565256284347,-1.0149993688571,-1.096401540113626,-0.8392591098050713,-0.7360823283310102,-0.513694914799067,-0.8916029844267742,-1.0686750689250797,-1.3493193777438308,-0.55423562798487,0.23029698974779736,-0.12263545273497149,-0.0921907835775678,1.409420417434517,1.3537280604917128,1.4271682235231518,-0.32212008459196656,-0.3772027030584894,-0.36696957185394363,2.0861930058989357,-0.31315254450352514,-0.07687760066907379,-0.25771309648570573,-0.38930214097648747,-0.27787621321987555,-0.3607576504210512
