Name,Prev. Season,Position,Service Time,Salary,G_x,PA_x,H_x,AVG_x,1B_x,2B_x,3B_x,HR_x,BB%_x,K%_x,BB/K_x,BABIP_x,wOBA_x,wRAA_x,wRC_x,RE24_x,O-Swing%_x,Z-Swing%_x,Swing%_x,O-Contact%_x,Z-Contact%_x,Contact%_x,SwStr%_x,EV_x,LA_x,HardHit%_x,Barrel%_x,OPS_x,SB_run,CS_run,UBR_x,Inn_x,E_x,DRS_x,UZR_x,RAA_x,FRM_x,SB_def,CS_def,G_y,PA_y,H_y,AVG_y,1B_y,2B_y,3B_y,HR_y,BB%_y,K%_y,BB/K_y,BABIP_y,wOBA_y,wRAA_y,wRC_y,RE24_y,O-Swing%_y,Z-Swing%_y,Swing%_y,O-Contact%_y,Z-Contact%_y,Contact%_y,SwStr%_y,EV_y,LA_y,HardHit%_y,Barrel%_y,OPS_y,SB_run,CS_run,UBR_y,Inn_y,E_y,DRS_y,UZR_y,RAA_y,FRM_y,SB_def,CS_def,Inn,E,DRS,UZR,RAA,FRM,SB_def,CS_def
Carlos Gomez,2010,CF,3,1500000,97.0,318.0,72.0,0.247,53.0,11.0,3.0,5.0,0,0,0.24,0.313,0.292,-7.4,29.0,-12.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0.655,18.0,3.0,-2.0,617.4000000000001,5.0,5.0,2.5,0.0,0.0,0.0,0.0,97.0,318.0,72.0,0.247,53.0,11.0,3.0,5.0,5.3,22.6,0.24,0.313,0.292,-7.4,29.0,-12.03,37.4,66.0,50.2,64.8,83.7,75.9,12.1,0.0,0.0,0.0,0.0,0.655,18.0,3.0,-2.0,617.4000000000001,5.0,5.0,2.5,0.0,0.0,0.0,0.0,617.4000000000001,5.0,5.0,2.5,0.0,0.0,0.0,0.0
Carlos Quentin,2010,RF,4,5050000,131.0,527.0,110.0,0.243,57.0,25.0,2.0,26.0,0,0,0.6,0.241,0.358,15.5,76.0,21.23,0,0,0,0,0,0,0,0.0,0.0,0,0,0.821,2.0,2.0,2.8,897.0,8.0,-23.0,-25.2,0.0,0.0,0.0,0.0,131.0,527.0,110.0,0.243,57.0,25.0,2.0,26.0,9.5,15.7,0.6,0.241,0.358,15.5,76.0,21.23,30.5,73.9,49.8,60.9,86.0,77.5,11.2,0.0,0.0,0.0,0.0,0.821,2.0,2.0,2.8,897.0,8.0,-23.0,-25.2,0.0,0.0,0.0,0.0,897.0,8.0,-23.0,-25.2,0.0,0.0,0.0,0.0
Chase Headley,2010,3B,2,2535000,161.0,674.0,161.0,0.264,118.0,29.0,3.0,11.0,0,0,0.4,0.323,0.313,-4.5,73.0,0.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0.702,17.0,5.0,1.8,1407.67,13.0,16.0,16.5,0.0,0.0,0.0,0.0,161.0,674.0,161.0,0.264,118.0,29.0,3.0,11.0,8.3,20.6,0.4,0.323,0.313,-4.5,73.0,0.85,26.6,66.7,44.1,61.4,89.2,79.8,8.8,0.0,0.0,0.0,0.0,0.702,17.0,5.0,1.8,1407.67,13.0,16.0,16.5,0.0,0.0,0.0,0.0,1407.67,13.0,16.0,16.5,0.0,0.0,0.0,0.0
Chris Denorfia,2010,OF,3,800000,99.0,317.0,77.0,0.271,51.0,15.0,2.0,9.0,0,0,0.53,0.3,0.335,3.6,40.0,9.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0.769,8.0,4.0,0.5,684.3,2.0,6.0,0.8000000000000007,0.0,0.0,0.0,0.0,99.0,317.0,77.0,0.271,51.0,15.0,2.0,9.0,8.5,16.1,0.53,0.3,0.335,3.6,40.0,9.94,23.1,55.6,39.1,61.3,87.9,79.9,7.7,0.0,0.0,0.0,0.0,0.769,8.0,4.0,0.5,684.3,2.0,6.0,0.8000000000000007,0.0,0.0,0.0,0.0,684.3,2.0,6.0,0.8000000000000007,0.0,0.0,0.0,0.0
Clint Barmes,2010,2B,5,3925000,133.0,432.0,91.0,0.235,62.0,21.0,0.0,8.0,0,0,0.53,0.263,0.286,-12.2,37.0,-13.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0.656,3.0,2.0,2.6,995.33,10.0,11.0,3.6,0.0,0.0,0.0,0.0,133.0,432.0,91.0,0.235,62.0,21.0,0.0,8.0,8.1,15.3,0.53,0.263,0.286,-12.2,37.0,-13.68,36.0,64.9,49.8,71.7,89.8,83.0,8.3,0.0,0.0,0.0,0.0,0.656,3.0,2.0,2.6,995.33,10.0,11.0,3.6,0.0,0.0,0.0,0.0,995.33,10.0,11.0,3.6,0.0,0.0,0.0,0.0
Cody Ross,2010,OF,5,6300000,153.0,569.0,141.0,0.269,96.0,28.0,3.0,14.0,0,0,0.31,0.324,0.322,0.6,66.0,1.75,0,0,0,0,0,0,0,0.0,0.0,0,0,0.735,9.0,2.0,1.2,1239.4,4.0,2.0,4.1000000000000005,0.0,0.0,0.0,0.0,153.0,569.0,141.0,0.269,96.0,28.0,3.0,14.0,6.5,21.3,0.31,0.324,0.322,0.6,66.0,1.75,31.9,62.7,46.3,66.0,85.0,78.0,10.1,0.0,0.0,0.0,0.0,0.735,9.0,2.0,1.2,1239.4,4.0,2.0,4.1000000000000005,0.0,0.0,0.0,0.0,1239.4,4.0,2.0,4.1000000000000005,0.0,0.0,0.0,0.0
Conor Jackson,2010,OF,5,3200000,60.0,241.0,49.0,0.236,34.0,13.0,0.0,2.0,0,0,1.15,0.261,0.3,-4.0,24.0,-4.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0.663,6.0,1.0,1.5,459.0,1.0,1.0,1.7000000000000002,0.0,0.0,0.0,0.0,60.0,241.0,49.0,0.236,34.0,13.0,0.0,2.0,12.9,11.2,1.15,0.261,0.3,-4.0,24.0,-4.37,21.5,60.9,39.1,70.9,93.2,86.4,5.3,0.0,0.0,0.0,0.0,0.663,6.0,1.0,1.5,459.0,1.0,1.0,1.7000000000000002,0.0,0.0,0.0,0.0,459.0,1.0,1.0,1.7000000000000002,0.0,0.0,0.0,0.0
Dan Johnson,2010,1B,3,1000000,40.0,140.0,22.0,0.198,12.0,3.0,0.0,7.0,0,0,0.93,0.188,0.338,1.9,18.0,2.38,0,0,0,0,0,0,0,0.0,0.0,0,0,0.757,1.0,0.0,-0.3,140.0,2.0,-4.0,-3.4,0.0,0.0,0.0,0.0,40.0,140.0,22.0,0.198,12.0,3.0,0.0,7.0,17.9,19.3,0.93,0.188,0.338,1.9,18.0,2.38,19.0,59.6,35.9,67.7,88.4,82.0,6.4,0.0,0.0,0.0,0.0,0.757,1.0,0.0,-0.3,140.0,2.0,-4.0,-3.4,0.0,0.0,0.0,0.0,140.0,2.0,-4.0,-3.4,0.0,0.0,0.0,0.0
David Murphy,2010,LF,3,2400000,138.0,471.0,122.0,0.291,82.0,26.0,2.0,12.0,0,0,0.63,0.324,0.354,12.5,67.0,24.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0.806,14.0,2.0,-1.5,967.3,1.0,0.0,-2.2,0.0,0.0,0.0,0.0,138.0,471.0,122.0,0.291,82.0,26.0,2.0,12.0,9.6,15.1,0.63,0.324,0.354,12.5,67.0,24.48,24.6,60.7,39.5,76.9,94.1,87.8,4.8,0.0,0.0,0.0,0.0,0.806,14.0,2.0,-1.5,967.3,1.0,0.0,-2.2,0.0,0.0,0.0,0.0,967.3,1.0,0.0,-2.2,0.0,0.0,0.0,0.0
Delmon Young,2010,LF,4,5375000,153.0,613.0,170.0,0.298,102.0,46.0,1.0,21.0,0,0,0.35,0.312,0.354,16.3,87.0,25.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0.826,5.0,4.0,-1.6,1277.67,4.0,-11.0,-9.3,0.0,0.0,0.0,0.0,153.0,613.0,170.0,0.298,102.0,46.0,1.0,21.0,4.6,13.2,0.35,0.312,0.354,16.3,87.0,25.85,39.6,79.8,57.9,72.9,87.6,82.1,10.3,0.0,0.0,0.0,0.0,0.826,5.0,4.0,-1.6,1277.67,4.0,-11.0,-9.3,0.0,0.0,0.0,0.0,1277.67,4.0,-11.0,-9.3,0.0,0.0,0.0,0.0
Erick Aybar,2010,SS,4,3000000,138.0,589.0,135.0,0.253,108.0,18.0,4.0,5.0,0,0,0.43,0.289,0.286,-16.3,51.0,-21.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0.636,22.0,8.0,0.4,1179.67,21.0,5.0,-2.8,0.0,0.0,0.0,0.0,138.0,589.0,135.0,0.253,108.0,18.0,4.0,5.0,5.9,13.8,0.43,0.289,0.286,-16.3,51.0,-21.57,33.8,60.8,46.8,77.9,92.9,87.3,5.9,0.0,0.0,0.0,0.0,0.636,22.0,8.0,0.4,1179.67,21.0,5.0,-2.8,0.0,0.0,0.0,0.0,1179.67,21.0,5.0,-2.8,0.0,0.0,0.0,0.0
