Name,Prev. Season,Service Time,Salary,G,GS,IP,BABIP,ERA,FIP,SwStr%,K-BB%,HR/9,CSW%,HardHit%,K/9,BB/9,H/9,HR/9.1,RE24,SIERA,AVG,WHIP,HR/FB,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Position_RP,Position_SP
Andy Sonnanstine,2010,3,-0.8634479997980024,-0.03567741961118789,-0.4135411171906608,-0.07441391502202775,-0.032081897019197426,0.49505731141683035,0.9777576157127637,-0.5725412074244315,-1.0048194317024923,0.4947785299644124,-0.05757184580934564,-1.1360542470825556,-1.003065269343689,-0.05689355156486453,0.5899877263818304,0.4947785299644124,-0.9248819316102808,0.6149783051570001,0.4948827648262135,0.4074806807419692,0.0956464145365545,-0.3646099354858574,0.19858709348769585,0.1968602071056168,0.2752888754310818,0.3947875822726512,0.48675796416294936,0.7663174322107388,-1.290363001180918,1.290363001180918
Anibal Sanchez,2010,4,0.19665757122963848,-0.4435975669139309,1.8414660110314165,1.9323645091524366,0.35863617841013345,-0.019967083274230378,-0.2935868963484313,-0.27873681210753015,-0.49866426538100134,-0.8998743477194799,0.059943719606734724,-1.1360542470825556,-0.39390333378326564,0.08920102364062037,0.431185657711155,-0.8998743477194799,-0.12046681470583884,0.45592701208737824,0.3666549847916088,0.3496142300861492,-1.1496218527125972,-0.07410532697039082,-0.021956701092849765,0.1429055614568558,0.3095256599479774,0.23636272767200317,0.3426428941500157,0.7551056900715767,-1.290363001180918,1.290363001180918
Armando Galarraga,2010,2,-0.33567664664650826,-0.7608687925938421,1.197178260110823,1.0404043095654183,-0.2553493686931012,0.523991266174755,1.1582065141988684,-1.0426282399314737,-1.3777758700446436,0.6599347917953998,-0.5108461695570823,-1.1360542470825556,-1.3454935763155245,0.05744133337855854,0.45765266915626773,0.6599347917953998,-0.4191960606808295,1.4570145625844113,0.4147404023045856,0.3496142300861492,-0.343860032727852,-0.2629333225054442,0.22140196878913135,0.07815998667834245,0.7272144310541043,0.5897720187042176,0.7094812541829378,0.30663600450509815,-1.290363001180918,1.290363001180918
Bill Bray,2010,3,-0.9649717399215246,-0.3076241844796832,-0.7356849926509574,-1.0015807536296508,-0.6460674441224324,0.31566679191769664,0.14113090454991287,0.9258612086917654,0.4070870848785088,0.5865320087594054,0.7482491741866308,-1.1360542470825556,0.42792460294913953,0.05744133337855854,-0.5348602600354498,0.5865320087594054,0.0003359211273078727,-0.4328890374193334,-0.5149110029462977,-0.3737164031115999,-0.2706089581837842,0.4197525075059022,0.18337717662007183,0.18606927797586445,-0.3889047441966925,-0.06830045425231901,-0.24036807090230553,-0.09698671250473193,0.7749757231762048,-0.7749757231762048
Boone Logan,2010,3,-0.7539392464063379,0.41756718850297103,-0.7356849926509574,-0.7961500149444228,0.14932292371584863,-0.378748122272497,0.04270423264840094,0.602676373843174,-0.44538477418926564,-0.49615904102151104,-0.023995969976179483,-1.1360542470825556,0.07468277049398331,0.8958971562969936,-0.10256573976527936,-0.49615904102151104,0.2082290013983045,0.10040059228469374,0.030057062200771884,0.3785474554140592,-0.6002387936320891,-0.3065090137827643,0.609254848913538,0.27239671101388246,-0.8613723705298517,0.1876166185641118,-0.056948890885844934,0.21694206739180275,0.7749757231762048,-0.7749757231762048
Brad Ziegler,2010,2,-0.7349273100536183,1.0067851790513775,-0.7356849926509574,-0.43228940066647387,-0.046036113998816415,-0.1877840208701939,0.3625909163283145,-0.7782042841462625,-1.191297650873568,-0.6613153028524984,-0.5276341074736647,-1.1360542470825556,-0.8156308276327895,0.6735793244625603,0.05623632890539521,-0.6613153028524984,0.07993462303286962,0.4465710536715183,0.17431331473970174,0.3785474554140592,-0.47204941317997073,-0.2629333225054442,0.1301424675833883,-0.04054023374893188,0.39854129969190677,0.47400000957297483,0.49330864916353684,0.12724813027850734,-1.290363001180918,1.290363001180918
Brandon Morrow,2010,3,-0.33567664664650826,-0.7155443317824263,1.3582501978409713,1.075610948586023,0.874942206656036,0.523991266174755,-0.42482245888378023,0.1913502203995119,0.5003261944640466,-0.49615904102151104,0.32855072627205983,-1.1360542470825556,0.9397648091596728,0.6164118819908483,0.21062722900188446,-0.49615904102151104,-0.7572564299503332,-0.2831937027655713,0.27048414976565527,0.46534713139778855,-0.673489868176157,-0.1176810182477109,0.02367304951002122,-0.09449487939769287,-0.09446839735139007,0.12059071854076125,0.047862069123560856,0.02634245102604904,-1.290363001180918,1.290363001180918
Brandon League,2010,4,-0.3546885829992278,1.278731943919873,-0.7356849926509574,-0.10962055404263238,-0.3251204535911962,-0.09519536564483465,0.19034424050066884,0.10320890180444181,-0.6851424845520769,-0.275950691913528,-0.5444220453902479,-1.1360542470825556,-0.7074955727995783,-0.006078047145565386,-0.11138807691365038,-0.275950691913528,-0.6963868343754918,-0.3767532869241726,-0.03405682781653047,-0.08438414983250063,0.6450294736170625,-0.07410532697039082,0.4419457633696759,0.39109693144115604,-0.6422569496217196,0.43134716410356955,0.20507850913767048,0.5532943315666616,0.7749757231762048,-0.7749757231762048
Burke Badenhop,2010,2,-0.9250466735808136,0.5082161101258028,-0.7356849926509574,-0.3090661640943576,-0.032081897019197426,0.23465171859550757,-0.006509103302355027,-1.0132478003997836,-0.631862993360341,-0.5145097367805096,0.0767316575233172,-1.1360542470825556,-0.7543541832273031,-0.19028425066552465,0.16210437468584518,-0.5145097367805096,0.09679081873051805,-0.08671857603250883,0.19034178724402734,0.03134875147913933,-0.4171111072719198,-0.27745855293121724,-0.45543933182012847,-0.3966408950307541,0.6792829327304504,0.49227980048843395,0.5784675541711801,0.20573032525264062,0.7749757231762048,-0.7749757231762048
C.J. Wilson,2010,5,1.4704573068618467,-0.398273106102515,1.9220019798964907,2.0907943847451573,-0.1855782837950063,-0.13570290230592919,-0.09673355254540746,-1.0720086794631638,-0.6585027389562091,-0.9365757392374771,0.11030753335648277,-1.1360542470825556,-0.30379062142225627,0.6418196342004978,-0.3451800113454773,-0.9365757392374771,2.152310238527084,0.5401306378301192,-0.19434155285978635,0.08921520213495931,-1.0031197036244617,-1.0182453046456572,-0.5238839577244355,-0.7095778397935677,0.5080990101459724,0.4374404277420565,0.5522648141688282,0.3290594887834224,-1.290363001180918,1.290363001180918
